comment,date,rate,max_rate
"If you want a movie full of explosions and fighting robots, this is the movie you need to see. Although, it would have been a shorter movie if they didn't go slo-mo during a lot of the fight scenes (which is all right, because it's cool).","May 26, 2019",8,/10
"Transformers is a great movie with a pretty good storyline and a decent cast.It is a bit long but the two and a half hours fly by.I enjoyed the action in the movie,although it did go on a bit too long many times,sometimes so much that you would forget whats happening,but it is very well directed by Michael Bay.I enjoyed Shia LaBeouf a lot in this,but,although she is very attractive,Megan Fox is not a very good actress,I feel like she just says her lines and she probably wouldn't have got in to acting if it wasn't for how good looking she is,I definitely think a better actress like Emma Stone or Amanda Seyfried could have put in a better performance as this character.The best part for me is without a doubt the robots themselves,Optimus Prime,Bumblebee and the rest of the Autobots and Decepticons are beautifully animated and the voice work is outstanding.While Transformers has many flaws,its still very enjoyable and I would recommend it to all fans of Michael Bay and the Transformers in general.A long fighting race of robots,the Autobots and the Decepticons,head to Earth and one young teenager might be able to fix things.","Oct 1, 2013",8,/10
"No, it is not a smart movie, or a well written one, but this movie certainly has it's goods, and one can hardly deny it is fairly entertaining.The goods were pretty obvious. Stunning visuals, brilliant editing, mind-blowing set pieces, say about mister Bay what you will, he has always had an eye for the visual. And this is an absolute plus to all his work, basically. But we can also state that Bay's previous work, with a few exception, was nonetheless fairly disappointing. Transformers went further than just the visual shebang.The movie had a good sense of humor too. It was clear that everyone knew that one can hardly take a few car robots seriously, and so no one didn't. Which is a good thing. It made the movie one hell of a lot funnier. The actor's were cool too. Shia LaBouf is a great lead role, John Turturro, John Voight, Anthony Anders and others had really cool side roles, and they made the movie worthwhile.The only downs were the ridiculousness that often crawled onto the screen, of course fault to the slightly preposterous script. Usually I cringe with issues like these, but aforementioned points somehow made the movie awfully amusing. A great watch, especially in the cinemas, but maybe somewhat less entertaining to watch on a TV. be warned","Aug 21, 2007",8,/10
"Sometimes (probably more often than not in this day and age), movies are not meant to be intensely analyzed and picked apart. If one were to do that to ""Transformers"", the review would likely come back a negative one. However, this flick requires its viewers to be one simple thing: sit back and enjoy the ride! If that can be done, ""Transformers"" will thoroughly entertain you.For a basic plot summary, ""Transformers"" focuses on high school student Sam Witwicky (Shia LaBeouf). While leading a relatively normal teenage life and trying to get the ""hot girl"" of his dreams Mikaela Barnes (Megan Fox), Sam is swept into an invasion of Earth by the evil Decepticons transformer robots. Allying with the U.S. government and the benevolent Autobots, Sam becomes central to the action due to his family lineage.If one could ever classify a film as ""whiz-bang"", this one be the textbook definition of that statement. It has everything most cinema fans want: pulse-pounding action, cool gadgets, romance, and a script that never takes a down moment...the action is always moving forward.What makes ""Transformers"" a truly quality experience, however, is the fact that the plot and characters contain a great deal of heart. The plot isn't Shakespeare, of course, but who can't relate to ""good vs. evil""? LaBeouf is absolutely perfect as Witwicky, while Fox turned herself into a national sex symbol simply by playing ""that hot girl from high school that all the boys lusted over"" & leaning over the engine of a car (!). Again, a set of characters that most individuals can relate to.Overall, ""Transformers"" will sweep you away if you can let it. Instead of nit-picking or analyzing ""the small stuff"", this is one to ""get your popcorn ready"" for!","Mar 7, 2017",9,/10
"I expected this to be an action movie only, but it also has a lot of hilarious jokes similar to American Pie, such as when the robots were making lots of noise, Sam's parents asked him something embarrassing. There is some action, but there is also drama. At least the action and drama aren't so bad. However, the characters weren't so likable. Megan Fox was just eye candy (yes, she was hot, at least) and Shia LaBeouf was not a likable character.Pros:Really funnyGood actionCons:Characters aren't so likableReview: 8","Jun 28, 2015",,
"When I saw Transformers, I will admit I wasn't expecting much. And you know what I thought it was a good movie. It is far from the best movie ever made, but it is well worth watching for a number of reasons.The best thing about the movie was the visual/special effects. They were absolutely mind-blowing, and the whole movie is worth the look just for them alone. And the robots especially Megatron were convincing enough, and the movements weren't jerky in any way. The sound is absolutely terrific, and the music is great. The storyline is original, fast-paced and gripping on the most part. There is some nice humour thrown into the mix, however the dialogue for me was a little too cheesy in places.The performances are spirited and bring a sense of fun to the proceedings. Shia LeBoeuf brings some charisma and appeal to the title role of Sam, and Megan Fox is hot. John Tuturro has fun in his role, and Kevin Dunn and Julie White are both hilarious as Sam's parents. Hugo Weaving is superb as Megatron, and Peter Cullen makes the most of his character Optimus Prime. In fact, the only weak performance came from the talented Jon Voight, he just seemed out of place. And while there are plenty of visual thrills, I wasn't a massive fan of Michael Bay's direction, it just seemed as though the visuals, story and performances were doing the work and Bay was just there making sure it was all going to plan.Overall, it is flawed but Transformers while not the best or worst of its genre is worth the look, especially if you are looking for terrific visuals, great sound and a good story. That way, if you overlook the flaws it does indeed have, you are in for a treat. 7/10 Bethany Cox","Nov 11, 2009",7,/10
It's August 9th 2020. I am watching this again for the 100th time. Never thought about reviewing it until now. As a massive fan in the 80s I was obsessed with the Comics (have them all) the toys and the tv cartoon. When I learned this was being made I had zero expectations except the trailers making it look something special. It really did not disappoint. The CGIof the robots is brilliant. The story is something that falls in line with the source material which okay isn't the most amazing of stories however it's a modern twist with elements of subtle comedy a real babe in Megan and a badass Megatron. I know people were upset with the decision to scrap Megatron turning into a gun but how would it have worked? This is by far the best of all the movies made so far. If you are a real fan you'll appreciate the efforts made I know I am.,"Aug 9, 2020",10,/10
,"Jun 27, 2007",6,/10
"I really love that movie! a masterpiece of Sci-fi genre with amazing visual effects and cutting edge action sequences by action mastermind Michael Bay.
I can't remember how many times have watched that movie but every time i want to have fun and enjoy amazing visuals i try Transformers 2007 again.
But annoying thing about the movie is that academy ignored that amazing visual effects and gave Oscar to garbage movie named golden comps. shame on you academy. brainless and stupid people of academy are blind to awesome stuff like TRANSFORMERS.
Thank you dear Michael Bay!","Dec 11, 2020",10,/10
"This movie is ACTION. I say this first because if you think this movie will be anything more than this, you will be disappointed on some level (as I was). Frame for frame this movie screams Michael Bay.Now that's out of the way, there's a lot of stuff here that works and a lot that doesn't. It's a good thing that the robots do work. Seeing autobots and decepticons in glorious photo-realistic CGI is enough to wring out any childhood fantasy from anybody (not just boys from the 80s). Watching these robots move is to realize a revelation to what is possible with modern movie effects. Whether it's transforming on the move, bashing the living daylights out of each other, or just standing and talking, these guys alone make the movie work. And unlike the other blockbusters that have came out this year, these effects have a sense of weight that adds so much to the visual satisfaction.As for everything else, well... that's when things start to go downhill. In typical epic fashion, this movie contains a sprawling cast. Along with this however, are a large number of writing and acting issues. With such a large number of underdeveloped characters, names are pretty much luxury. Also, most of the human related humor gags miss badly, which makes it hurt more considering a lot of the characters were unnecessary. Jon Voight's Secretary of Defense character completely baffles me, which makes me think that audiences responded positively to the President in Independence Day doing aerial dogfights. Any positives from the supporting cast (including the strange yet entertaining overacting of John Turturro) are outweighed by the large set of negatives.However, the cast has got it where it counts. Shia Lebeouf plays an important part in selling the reality of the robots as the lead character Sam, and also carries an easy likability factor. Megan Fox's acting does a reasonable job bringing some interest to her character to beyond her looks. The voice cast also does an overall superb job. Peter Cullen IS Prime, and although his dialogue does border on the ridiculous, he always has a sense of gravity to his lines. Hugo Weaving also does an equally commendable job as Megatron (His booming entrance will forever be embedded into the minds of little kids everywhere). The rest of the transformers don't say much, which is a shame because I wanted to see so much more interplay between them (The taunts that Optimus and Megatron yell as their fighting is great stuff).Another major gripe I have is Bay's ADD editing. Although it does keep the movie constantly moving, it creates some issues with continuity and distracts from some of the action (probably the biggest crime committed in the movie).I could go on and on about the good things (Bumblebee, Frenzy) and the bad things (Anthony Anderson and his family, forgotten Barricade) and the downright weird things (Dubya's cameo, Sam's friend climbing in a tree). Overall, the film delivers where it really matters. Although I was disappointed, the amount of potential for the sequel (which just got greenlighted) just gets me giddy (is it too much to ask for a tighter script and better acting?) (Also, the Autobot Assemble scene is one of the coolest things I've seen in theaters in years.)","Jul 2, 2007",7,/10
,"Jul 8, 2007",1,/10
Most awesome film I had watched that year and still is good to watch again best film of my childhood and is full of some good action scenes throughout,"Feb 5, 2019",10,/10
"Worth seeing again.
Top-class science fiction.
Lots of action and wild scenes .. Great movie in the beginning of the zeros.","Feb 13, 2021",7,/10
,"Jul 4, 2007",1,/10
"Steven Spielberg and Michael Bay team up for the exciting and action packed blockbuster Transformers. Earth becomes caught up in a war between two groups of alien robots that have come in search of a device that gave life to their planet. That cast includes Shia LaBeouf, Megan Fox, John Turturro, and Jon Voight, who all bring a certain charisma to the film. But the real stars of the film are the special effects, which are amazing. And Michael Bay does an excellent job at delivering high energy action sequences that are visually stunning. The writing is exceptionally poor and the film goes on for far too long, but the action and the visual effects keep the audience engaged. Transformers is messy and cheesy, and sophomoric...but it's also a lot of fun and immensely entertaining.","Mar 5, 2020",,
Transformers is a really good movie it's got really good action scenes it's got the best plot and good character development and the action scenes are well spaced out and an exceptional third act but the best part of the movie is megatron,"Mar 23, 2020",10,/10
